x_idx,y_idx,T,qx,qy
0,0,0,-0.0627396,0.0460621
0,1,0,-0.0627396,0.0460621
0,2,0,-0.0421783,0.0133413
0,3,0,-0.0298596,0.0103811
0,4,0,-0.0222107,0.00494174
0,5,0,-0.0183166,0.00349559
0,6,0,-0.0150953,0.00238545
0,7,0,-0.0130859,0.00178103
0,8,0,-0.0113794,0.00136428
0,9,0,-0.0101438,0.00108526
0,10,0,-0.00909092,0.000881811
0,11,0,-0.00825584,0.00073227
0,12,0,-0.00753851,0.000617898
0,13,0,-0.00693771,0.000528934
0,14,0,-0.00641479,0.000458186
0,15,0,-0.005962,0.000401052
0,16,0,-0.00556218,0.000354213
0,17,0,-0.00520837,0.000315337
0,18,0,-0.00489174,0.000282704
0,19,0,-0.00460717,0.000255042
0,20,0,-0.00434954,0.000231381
0,21,0,-0.00411526,0.000210982
0,22,0,-0.00390107,0.000193267
0,23,0,-0.00370445,0.000177779
0,24,0,-0.00352322,0.000164157
0,25,0,-0.00335558,0.000152108
0,26,0,-0.00319997,0.000141396
0,27,0,-0.0030551,0.000131828
0,28,0,-0.00291984,0.000123242
0,29,0,-0.00279322,0.000115506
0,30,0,-0.00267441,0.000108508
0,31,0,-0.00256267,0.000102157
0,32,0,-0.00245736,9.63713e-05
0,33,0,-0.00235791,9.10848e-05
0,34,0,-0.00226384,8.62398e-05
0,35,0,-0.00217469,8.17868e-05
0,36,0,-0.00209008,7.76832e-05
0,37,0,-0.00200966,7.38922e-05
0,38,0,-0.0019331,7.03817e-05
0,39,0,-0.00186014,6.71235e-05
0,40,0,-0.00179051,6.40933e-05
0,41,0,-0.00172398,6.12695e-05
0,42,0,-0.00166035,5.8633e-05
0,43,0,-0.00159942,5.61671e-05
0,44,0,-0.00154103,5.38568e-05
0,45,0,-0.00148502,5.16891e-05
0,46,0,-0.00143123,4.9652e-05
0,47,0,-0.00137954,4.77351e-05
0,48,0,-0.00132983,4.59289e-05
0,49,0,-0.00128198,4.42249e-05
0,50,0,-0.00123589,4.26156e-05
0,51,0,-0.00119146,4.1094e-05
0,52,0,-0.0011486,3.96539e-05
0,53,0,-0.00110723,3.82898e-05
0,54,0,-0.00106726,3.69966e-05
0,55,0,-0.00102864,3.57695e-05
0,56,0,-0.000991284,3.46045e-05
0,57,0,-0.000955134,3.34977e-05
0,58,0,-0.000920131,3.24456e-05
0,59,0,-0.000886216,3.1445e-05
0,60,0,-0.000853338,3.04929e-05
0,61,0,-0.000821446,2.95867e-05
0,62,0,-0.000790493,2.87239e-05
0,63,0,-0.000760433,2.79022e-05
0,64,0,-0.000731226,2.71195e-05
0,65,0,-0.000702829,2.6374e-05
0,66,0,-0.000675205,2.56638e-05
0,67,0,-0.000648317,2.49873e-05
0,68,0,-0.00062213,2.43429e-05
0,69,0,-0.000596611,2.37293e-05
0,70,0,-0.000571727,2.31452e-05
0,71,0,-0.000547449,2.25893e-05
0,72,0,-0.000523746,2.20606e-05
0,73,0,-0.000500591,2.15579e-05
0,74,0,-0.000477956,2.10804e-05
0,75,0,-0.000455815,2.06271e-05
0,76,0,-0.000434143,2.01972e-05
0,77,0,-0.000412915,1.97899e-05
0,78,0,-0.000392109,1.94045e-05
0,79,0,-0.0003717,1.90403e-05
0,80,0,-0.000351666,1.86967e-05
0,81,0,-0.000331987,1.83732e-05
0,82,0,-0.000312641,1.80691e-05
0,83,0,-0.000293607,1.77841e-05
0,84,0,-0.000274867,1.75176e-05
